07-08-2025;Name;2025-01-01;2025-08-06;2025-08-05;2025-08-04;2025-07-31;2025-07-07;2025-05-07;2025-02-07;2024-08-07;2020-08-07
MHVYF;Mitsubishi Heavy Industries, Ltd.;14,22;26,84;25,48;24,52;24,34;23,53;19,50;14,27;11,62;2,25
WMMVF;Wal-Mart de México, S.A.B. de C.V.;2,60;2,86;2,84;2,85;3,03;3,20;3,27;2,69;3,17;2,47
ADDDF;adidas AG;240,89;188,25;188,00;197,07;194,79;245,25;237,30;260,46;227,36;294,00
DPSTF;Deutsche Post AG;35,25;44,30;44,30;44,62;44,62;46,29;43,43;35,62;39,59;43,42
DANOY;Danone S.A.;13,39;16,73;16,75;16,90;16,42;15,94;17,02;13,78;13,21;12,85
MSCI;MSCI Inc.;600,01;548,30;557,73;572,04;561,36;588,00;552,67;579,39;524,39;362,37
SMEGF;Siemens Energy AG;52,56;113,20;114,00;116,90;117,00;112,45;80,70;59,67;25,99;0,00
PCG;PG&E Corporation;20,18;15,13;15,17;15,04;14,02;13,64;17,20;15,32;18,04;9,10
GRMN;Garmin Ltd.;206,26;230,08;228,25;225,53;218,76;214,43;188,26;217,67;162,35;101,89
HNDAF;Honda Motor Co., Ltd.;9,69;10,78;10,25;10,25;10,09;9,75;10,20;9,48;10,00;7,78
RBLX;Roblox Corporation;57,86;134,14;127,11;130,70;137,79;107,76;70,44;66,28;36,18;0,00
CCEP;Coca-Cola Europacific Partners PLC;76,81;91,32;98,33;97,88;96,92;96,82;91,05;80,03;73,26;41,43
FJTSF;Fujitsu Limited;16,00;24,08;23,15;22,23;22,75;26,09;23,03;18,50;15,42;13,40
KHC;The Kraft Heinz Company;30,71;27,26;27,04;26,80;27,46;26,08;28,23;29,30;34,67;35,41
DAL;Delta Air Lines, Inc.;60,50;54,12;52,87;52,52;53,21;50,00;45,30;68,14;37,32;27,18
F;Ford Motor Company;9,90;11,21;11,06;10,95;11,07;11,59;10,28;9,24;9,77;6,86
SYY;Sysco Corporation;76,46;81,47;79,25;79,47;79,60;76,71;70,51;71,12;75,25;57,80
TTWO;Take-Two Interactive Software, Inc.;184,08;227,21;225,92;225,99;222,73;242,53;226,34;208,77;135,67;174,96
HSY;The Hershey Company;169,35;188,59;188,94;190,41;186,13;175,55;168,67;154,93;199,82;143,92
HYMTF;Hyundai Motor Company;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;55,55;31,39
DTGHF;Daimler Truck Holding AG;37,66;45,73;45,73;44,78;47,00;47,69;39,74;42,53;0,00;0,00
ASAZF;ASSA ABLOY AB (publ);28,55;33,72;33,72;33,72;33,72;31,77;29,28;29,38;29,43;22,85
KBCSF;KBC Group NV;78,14;105,70;105,70;105,70;105,70;99,94;90,71;77,66;68,34;59,15
ENAKF;E.ON SE;11,65;19,15;18,06;18,06;19,45;17,96;17,25;11,61;13,99;11,70
VICI;VICI Properties Inc.;29,21;33,01;33,52;33,93;32,60;32,88;31,66;30,11;31,48;22,88
CAJFF;Canon Inc.;32,88;28,32;28,32;28,32;28,32;27,55;29,34;33,00;29,22;16,59
SCGLY;Société Générale Société anonyme;5,65;13,03;12,84;12,77;12,79;11,72;10,41;7,47;4,46;3,16
MIELF;Mitsubishi Electric Corporation;16,46;24,42;24,42;24,42;22,13;21,26;19,30;16,62;14,40;12,50
TSCDY;Tesco PLC;14,02;16,88;16,79;16,99;16,91;16,65;15,30;14,44;12,62;11,23
BSBR;Banco Santander (Brasil) S.A.;3,91;4,87;4,80;4,78;4,72;5,32;4,97;4,62;5,01;5,41
ORANY;Orange S.A.;9,84;16,16;15,97;15,91;15,24;15,28;14,47;10,88;11,08;11,40
EBAY;eBay Inc.;61,95;92,54;91,28;92,86;91,75;75,91;69,76;67,83;55,11;55,21
ZTCOF;ZTE Corporation;2,72;2,81;2,81;2,81;2,81;2,93;3,00;3,50;1,88;2,93
UAL;United Airlines Holdings, Inc.;97,10;88,87;87,66;87,01;88,31;81,11;75,35;109,00;38,76;34,33
PCRHY;Panasonic Holdings Corporation;10,25;10,24;10,00;9,88;9,48;10,10;11,68;11,56;0,00;0,00
EBKDY;Erste Group Bank AG;30,73;48,56;47,50;47,18;46,08;42,23;38,33;31,88;24,69;11,91
HPQ;HP Inc.;32,63;25,01;25,05;24,97;24,80;25,34;25,85;32,27;32,02;18,47
RDDT;Reddit, Inc.;163,44;212,81;199,09;201,76;160,59;153,37;105,53;225,23;50,69;0,00
