07-08-2025;Name;2025-01-01;2025-08-06;2025-08-05;2025-08-04;2025-07-31;2025-07-07;2025-05-07;2025-02-07;2024-08-07;2020-08-07
CRERF;Carrefour SA;14,15;14,72;14,10;13,60;14,35;14,75;15,42;14,84;14,69;15,86
YAMHF;Yamaha Motor Co., Ltd.;8,35;7,66;7,06;7,10;7,49;7,57;8,02;8,27;7,86;5,25
PARA;Paramount Global;10,46;11,04;11,75;12,31;12,57;12,53;11,57;10,63;10,46;26,21
DBX;Dropbox, Inc.;30,04;26,51;26,13;26,68;27,17;27,41;29,41;32,04;21,68;20,69
RICOF;Ricoh Company, Ltd.;10,50;9,23;9,23;9,23;9,23;9,61;9,13;9,85;9,23;7,20
IVZ;Invesco Ltd.;17,48;21,10;21,17;21,00;21,01;16,72;14,33;18,91;15,33;10,78
BXSL;Blackstone Secured Lending Fund;32,31;30,19;31,16;31,06;31,55;30,94;29,71;33,24;30,05;0,00
NTOIF;Neste Oyj;12,00;16,60;16,08;15,67;15,73;14,29;10,36;12,43;19,55;47,10
LEVI;Levi Strauss & Co.;17,30;20,38;19,99;19,94;19,69;19,55;16,55;18,44;17,18;12,50
KMERF;Komercní banka, a.s.;35,55;35,55;35,55;35,55;35,55;35,55;35,55;35,55;35,55;24,20
EJTTF;easyJet plc;6,57;6,55;6,55;6,55;6,55;7,24;7,13;6,47;5,44;6,41
WHR;Whirlpool Corporation;114,48;82,92;84,53;83,10;83,04;108,50;76,53;101,80;90,25;173,20
MDNDF;McDonald's Holdings Company (Japan), Ltd.;37,57;40,00;40,00;40,00;40,00;40,66;39,35;38,00;42,05;49,91
HISEF;Hisense Home Appliances Group Co., Ltd.;3,08;3,30;3,03;3,00;3,00;2,46;3,10;3,08;3,00;1,13
BRTHY;Brother Industries, Ltd.;33,48;34,50;34,50;34,50;34,00;34,92;35,00;34,48;34,50;32,45
IVCGF;Iveco Group N.V.;9,59;21,38;21,30;21,30;20,69;20,21;15,94;14,44;9,46;0,00
SHCAY;Sharp Corporation;1,51;1,23;1,20;1,18;1,14;1,13;1,39;1,58;1,28;2,85
MZDAY;Mazda Motor Corporation;3,37;3,19;3,15;3,09;2,97;2,91;2,92;3,34;3,72;2,85
SMSOF;Samsonite Group S.A.;2,73;1,80;1,92;1,92;1,92;1,92;1,80;2,36;2,66;1,01
MMTOF;Mitsubishi Motors Corporation;3,55;2,98;2,98;2,78;2,78;2,55;2,78;2,50;2,36;2,06
FJTCY;Fujitec Co., Ltd.;39,35;38,65;38,65;38,65;38,65;43,50;38,58;39,35;26,70;18,48
ACEYY;Acer Incorporated;5,14;5,14;5,14;5,14;5,14;5,14;5,14;5,14;8,00;3,01
WDFC;WD-40 Company;242,68;219,37;217,07;214,67;214,40;229,97;232,90;237,04;249,78;196,28
HUGPF;Hugo Boss AG;43,67;46,36;46,36;46,36;46,36;46,36;34,81;43,40;40,80;27,85
CCOJY;Coca-Cola Bottlers Japan Holdings Inc.;7,95;8,61;8,61;8,61;7,18;7,60;8,84;7,65;6,80;7,46
BB;BlackBerry Limited;3,78;3,71;3,74;3,77;3,69;4,31;3,68;5,25;2,11;4,84
ELUXY;AB Electrolux (publ);16,27;12,30;12,37;11,87;12,27;14,97;12,40;17,43;16,15;40,30
CSIOY;Casio Computer Co.,Ltd.;82,80;80,75;80,73;79,93;79,36;72,17;76,92;84,08;75,80;139,25
WZZAF;Wizz Air Holdings Plc;18,99;15,95;15,95;15,95;15,95;14,96;21,94;18,40;0,00;0,00
VSCO;Victoria's Secret & Co.;41,42;20,48;19,71;20,56;18,80;20,46;19,24;32,14;17,92;0,00
MTTWF;Metro AG;5,32;6,10;6,10;6,10;6,10;6,10;6,10;5,32;5,30;9,66
ALGGF;Alliance Global Group, Inc.;0,15;0,08;0,08;0,08;0,08;0,08;0,08;0,15;0,17;0,12
FGELF;Fujitsu General Limited;25,68;18,00;18,00;18,00;18,00;18,00;18,00;15,00;25,68;19,10
PSFE;Paysafe Limited;17,10;11,84;11,51;11,86;12,15;13,34;14,93;23,25;18,67;0,00
NTGR;NETGEAR, Inc.;27,87;24,85;23,94;23,69;23,25;29,89;28,67;29,39;15,03;32,07
KIND;Nextdoor Holdings, Inc.;2,37;2,37;2,37;2,37;2,37;2,37;2,37;2,37;2,51;0,00
GPRO;GoPro, Inc.;1,09;1,31;1,32;1,30;1,29;0,76;0,59;0,90;1,16;4,94
